"","V1","V2","V3"
"5046",75,2607,7
"5047",75,2682,7
"5048",75,2701,6
"5049",75,2827,6
"5050",75,2835,8
"5053",75,2857,8
"5055",75,2877,4
"5056",75,2880,8
"5057",75,2897,6
"5058",75,2908,9
"5059",75,2915,9
"5060",75,2919,6
"5064",75,2954,8
"5065",75,2984,8
"5070",75,3029,8
"5076",75,3085,7
"5077",75,3134,7
"5079",75,3261,4
"5082",75,3341,8
"5085",75,3375,6
"5086",75,3380,6
"5087",75,3388,7
"5088",75,3415,8
"5090",75,3435,6
"5091",75,3443,8
"5092",75,3486,8
"5093",75,3488,7
"5094",75,3524,8
"5096",75,3570,6
"5098",75,3626,6
"5099",75,3746,6
"5100",75,3757,6
"5108",75,3941,6
"5109",75,3994,4
"5113",82,93,4
"5115",82,104,4
"5116",82,118,4
"5117",82,120,5
"5118",82,121,6
"5119",82,135,7
"5120",82,137,8
"5121",82,151,4
"5122",82,152,4
"5123",82,162,4
"5124",82,173,4
"5125",82,180,5
"5126",82,181,6
"5127",82,186,6
"5128",82,196,4
"5129",82,203,4
"5130",82,209,5
"5131",82,211,4
"5132",82,220,6
"5133",82,222,5
"5134",82,226,5
"5135",82,237,5
"5141",82,270,3
"5147",82,291,7
"5148",82,300,3
"5151",82,311,5
"5152",82,312,3
"5154",82,325,7
"5157",82,341,6
"5158",82,346,4
"5159",82,347,5
"5160",82,354,5
"5161",82,361,6
"5162",82,365,3
"5165",82,377,7
"5168",82,393,7
"5169",82,402,5
"5171",82,413,5
"5172",82,420,3
"5173",82,421,6
"5174",82,427,5
"5176",82,437,5
"5177",82,442,7
"5178",82,455,7
"5179",82,456,5
"5181",82,467,7
"5186",82,497,7
"5187",82,502,6
"5190",82,514,5
"5191",82,525,3
"5193",82,534,7
"5199",82,574,3
"5200",82,579,7
"5201",82,596,5
"5202",82,598,4
"5204",82,609,5
"5205",82,613,6
"5206",82,626,4
"5207",82,634,7
"5209",82,645,7
"5211",82,661,8
"5212",82,664,5
"5213",82,666,6
"5214",82,678,6
"5215",82,679,5
"5216",82,681,6
"5217",82,696,6
"5218",82,697,7
"5219",82,707,6
"5220",82,720,7
"5221",82,724,6
"5224",82,752,6
"5225",82,754,5
"5226",82,765,5
"5229",82,781,6
"5232",82,794,6
"5234",82,809,8
"5235",82,813,5
"5236",82,824,6
"5237",82,844,8
"5238",82,862,4
"5240",82,881,7
"5242",82,911,10
"5246",82,985,8
"5248",82,1028,3
"5249",82,1030,6
"5250",82,1044,6
"5251",82,1062,5
"5253",82,1074,5
"5254",82,1077,4
"5255",82,1085,3
"5257",82,1104,4
"5258",82,1112,5
"5260",82,1127,5
"5263",82,1175,7
"5264",82,1180,6
"5265",82,1185,5
"5266",82,1203,7
"5268",82,1227,5
"5270",82,1268,5
"5271",82,1274,6
"5272",82,1368,4
"5275",82,1419,7
"5276",82,1437,6
"5277",82,1465,6
"5278",82,1486,6
"5279",82,1492,5
"5280",82,1498,6
"5281",82,1543,6
"5282",82,1555,6
"5286",82,1620,4
"5288",82,1694,6
"5289",82,1704,6
"5291",82,1730,4
"5292",82,1744,6
"5293",82,1759,8
"5294",82,1763,8
"5297",82,1797,6
"5298",82,1799,7
"5300",82,1828,6
"5302",82,1846,4
"5305",82,1875,6
"5306",82,1896,5
"5309",82,1923,9
"5310",82,1947,9
"5313",82,1966,5
"5315",82,1986,7
"5317",82,2006,7
"5321",82,2069,7
"5324",82,2107,5
"5325",82,2118,5
"5327",82,2141,5
"5328",82,2158,3
"5331",82,2192,6
"5332",82,2196,5
"5333",82,2211,8
"5334",82,2230,7
"5335",82,2242,5
"5338",82,2295,7
"5340",82,2327,7
"5341",82,2332,6
"5342",82,2340,5
